Designator,Mid X,Mid Y,Rotation,Layer
C1,200.025,-82.635,90.0,top
C2,190.1,-83.0,90.0,top
C3,164.475,-82.325,270.0,top
C4,213.2267,-81.2,270.0,top
DC1,200.3,-101.05,90.0,top
J1,177.805,-104.0017,90.0,top
J2,191.2,-93.76,180.0,top
J3,210.0,-93.5,270.0,top
LED1,165.65,-87.05,0.0,top
R1,167.0,-82.25,270.0,top
R2,202.4,-85.025,270.0,top
R3,166.25,-90.235,0.0,top
R4,166.25,-92.21,0.0,top
R5,166.225,-94.185,0.0,top
SW1,166.58,-103.8067,270.0,top
SW2,189.95,-103.85,270.0,top
SW3,191.5,-75.5,0.0,top
SW4,198.0,-75.5,0.0,top
SW5,204.5,-75.5,0.0,top
SW6,211.0,-75.5,0.0,top
U1,194.7,-82.77,90.0,top
U2,178.1,-91.2,0.0,top
U3,198.41,-92.35,0.0,top
U4,207.7267,-81.4,180.0,top
