Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C0603,2,22pf,C1653
C10,C0805,1,4.7uF,C1779
C11,C0603,1,22uF,C77042
"C12, C14, C15, C18, C19",C0603,5,0.1uF,C1591
C13,C0603,1,1uF,C2918486
"C16, C17",C0603,2,10uF,C96446
C20,CAP-TH_BD16.0-P7.50-D1.2-FD,1,1000uF,C383058
"C3, C9",C0603,2,0.1uF,C14663
C4,C1210,1,10uF,C77102
C5,C0805,1,220nF,C107131
C6,C0402,1,0.1uF,C71629
C7,C0603,1,1uF,C696361
C8,C1210,1,47uF,C77101
D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
"D2, D3",SOD-123_L2.7-W1.7-LS3.8-RD,2,B5819W,C5345968
DC1,DC-IN-TH_DC-005-5A-2.5,1,DC-005-5A-2.5,C381115
F1,FUSE-SMD_L4.7-W3.4,1,1.1A,C163516
J1,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J2,PinHeader_1x06_P2.54mm_Vertical,1,GPIO,
L1,IND-SMD_L6.6-W6.4,1,10uH,C5329540
L2,IND-SMD_L8.2-W7.9,1,1uH,C2041438
"LED1, LED2, LED3",LED-SMD_4P-L2.0-W2.0-BR,3,SK6805-EC20,C2890036
"R1, R2",R0603,2,5.1K,C105580
"R10, R5, R7",R0402,3,100K,C481918
R11,R0603,1,10K,C25804
"R12, R13",R0603,2,4.7k,C99782
R14,R0603,1,220ohm,C22962
"R15, R16",R0603,2,100ohm,C105588
"R3, R4",R0603,2,27ohm,C137753
R6,R0603,1,24.9K,C137761
R8,R0402,1,475K,C2085628
R9,R0402,1,453K,C843903
SW1,SW-SMD_L3.9-W3.0-P4.45,1,RESET,C720477
SW2,SW-SMD_L3.9-W3.0-P4.45,1,BOOT,C720477
SW3,SW-SMD_L3.9-W3.0-P4.45,1,-,C720477
SW4,SW-SMD_L3.9-W3.0-P4.45,1,+,C720477
SW5,SW-SMD_L3.9-W3.0-P4.45,1,MODE,C720477
SW6,SW-SMD_L3.9-W3.0-P4.45,1,POWER,C720477
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,LMR33630ADDAR,C841384
U2,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TLV62569APDRLR,C398366
U3,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N16R8),C2913202
U4,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,SN74AHCT125PWR,C36365
U5,SENSOR-SMD_L3.0-W3.0-P1.00-BR,1,AHT20_C2757850,C2757850
U9,CONN-TH_3P-P5.00_KF301-5.0-3P,1,LED_STRIP_CONN,C474882
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
