Designator,Mid X,Mid Y,Rotation,Layer
C1,135.4025,-101.82,0.0,top
C10,143.3075,-88.185,270.0,top
C11,133.7575,-88.925,270.0,top
C12,123.3925,-109.09,270.0,top
C13,101.635,-86.035,90.0,top
C14,106.3025,-109.07,270.0,top
C15,101.49,-82.28,90.0,top
C16,103.74,-82.28,90.0,top
C17,149.0475,-83.165,0.0,top
C18,149.0175,-81.225,0.0,top
C19,147.8575,-94.465,0.0,top
C2,132.1925,-101.82,180.0,top
C20,172.16,-103.24,270.0,top
C3,136.4625,-98.59,270.0,top
C4,175.83,-87.62,90.0,top
C5,179.195,-87.715,90.0,top
C6,165.0175,-89.825,270.0,top
C7,165.2375,-85.965,90.0,top
C8,155.0075,-91.755,270.0,top
C9,151.7775,-91.205,270.0,top
D1,133.75,-98.19,180.0,top
D2,146.4,-88.84,270.0,top
D3,148.8,-88.84,270.0,top
DC1,159.1,-104.1125,90.0,top
F1,139.9075,-100.515,90.0,top
J1,128.28,-86.72,180.0,top
J2,114.72,-102.77,270.0,top
L1,160.6275,-91.295,180.0,top
L2,136.7475,-82.055,180.0,top
LED1,164.3925,-75.46,0.0,top
LED2,169.3925,-75.46,0.0,top
LED3,174.3925,-75.46,0.0,top
R1,136.1025,-104.72,90.0,top
R10,140.3975,-89.725,180.0,top
R11,103.54,-86.03,270.0,top
R12,129.7175,-75.425,270.0,top
R13,129.7075,-78.485,90.0,top
R14,135.9975,-74.475,0.0,top
R15,180.05,-96.51,90.0,top
R16,160.5125,-75.6,180.0,top
R2,131.4625,-104.72,90.0,top
R3,133.0125,-104.72,90.0,top
R4,134.5925,-104.72,90.0,top
R5,168.5875,-81.365,0.0,top
R6,169.7375,-83.095,0.0,top
R7,169.7375,-84.965,180.0,top
R8,141.0725,-93.16,0.0,top
R9,140.3975,-91.455,0.0,top
SW1,119.2525,-108.39,180.0,top
SW2,110.4825,-108.39,0.0,top
SW3,101.65,-89.9,180.0,top
SW4,101.65,-94.17,180.0,top
SW5,101.65,-98.39,180.0,top
SW6,101.65,-102.58,180.0,top
U1,169.7175,-88.535,180.0,top
U2,140.7375,-87.535,0.0,top
U3,115.32,-89.1975,0.0,top
U4,147.9375,-98.115,180.0,top
U5,149.19,-76.575,180.0,top
U9,184.8275,-94.585,270.0,top
USB1,133.79,-110.1675,0.0,top
